mapping_row_id,campaign_id,campaign_name,normalized_campaign_name,business_unit,marketing_channel,funnel_stage,region,state,account_manager,mapping_status,mapping_comment
MAP0001,IN_GO_1070,Summer Savings | Fashion | Maharashtra | Social,summer_savings_fashion_maharashtra_social,Fashion,Social,Awareness,India,Maharashtra,Ananya Singh,Mapped,Standard mapping applied
MAP0002,IN_LI_1058,Back to College | Fashion | Kerala | Programmatic,back_to_college_fashion_kerala_programmatic,Electronics,Programmatic,Retention,India,Kerala,Neha Gupta,Incorrect Mapping,Campaign mapped to wrong business unit
MAP0003,IN_DV_1049,Monsoon Deals | Fashion | Gujarat | Video,monsoon_deals_fashion_gujarat_video,Fashion,Video,Consideration,India,Gujarat,Meera Nair,Mapped,Standard mapping applied
MAP0004,IN_DV_1080,New Year | Electronics | Uttar Pradesh | Programmatic,new_year_electronics_uttar_pradesh_programmatic,Electronics,Programmatic,Awareness,India,Uttar Pradesh,Rohan Patel,Mapped,Standard mapping applied
MAP0005,IN_ME_1059,Summer Savings | EdTech | Delhi NCR | Search,summer_savings_edtech_delhi_ncr_search,EdTech,Search,Conversion,India,Delhi NCR,Karthik Rao,Mapped,Standard mapping applied
MAP0006,IN_YO_1049,Back to College | Travel | Karnataka | Social,back_to_college_travel_karnataka_social,Travel,Social,Consideration,India,Karnataka,Sanjay Verma,Mapped,Standard mapping applied
MAP0007,IN_YO_1009,Diwali Sale | EdTech | Maharashtra | Video,diwali_sale_edtech_maharashtra_video,EdTech,Video,Retention,India,Maharashtra,Priya Reddy,Mapped,Standard mapping applied
MAP0008,IN_DV_1072,Wedding Season | Fashion | West Bengal | Video,wedding_season_fashion_west_bengal_video,Fashion,Video,Conversion,India,West Bengal,Priya Reddy,Mapped,Standard mapping applied
MAP0009,IN_YO_1020,Back to College | Home Appliances | Tamil Nadu | Search,back_to_college_home_appliances_tamil_nadu_search,Home Appliances,Search,Awareness,India,Tamil Nadu,Sanjay Verma,Mapped,Standard mapping applied
MAP0010,IN_DV_1015,Back to College | Grocery | Kerala | Programmatic,back_to_college_grocery_kerala_programmatic,Grocery,Programmatic,Retention,India,Kerala,Neha Gupta,Mapped,Standard mapping applied
MAP0011,IN_GO_1023,Monsoon Deals | Home Appliances | Delhi NCR | Search,monsoon_deals_home_appliances_delhi_ncr_search,Home Appliances,Search,Conversion,India,Delhi NCR,Sanjay Verma,Mapped,Standard mapping applied
MAP0012,IN_LI_1042,Monsoon Deals | Grocery | Kerala | Social,monsoon_deals_grocery_kerala_social,Beauty,Social,Awareness,India,Kerala,Priya Reddy,Incorrect Mapping,Campaign mapped to wrong business unit
MAP0013,IN_ME_1069,Festive Cashback | Electronics | Maharashtra | Search,festive_cashback_electronics_maharashtra_search,Electronics,Search,Retention,India,Maharashtra,Priya Reddy,Mapped,Standard mapping applied
MAP0014,IN_YO_1048,Summer Savings | Beauty | Uttar Pradesh | Social,summer_savings_beauty_uttar_pradesh_social,Beauty,Social,Conversion,India,Uttar Pradesh,Meera Nair,Mapped,Standard mapping applied
MAP0015,IN_YO_1008,Festive Cashback | Fashion | Maharashtra | Search,festive_cashback_fashion_maharashtra_search,Fashion,Search,Conversion,India,Maharashtra,Meera Nair,Mapped,Standard mapping applied
MAP0016,IN_ME_1061,Summer Savings | Beauty | Delhi NCR | Social,summer_savings_beauty_delhi_ncr_social,Beauty,Social,Retention,India,Delhi NCR,Vikram Iyer,Mapped,Standard mapping applied
MAP0017,IN_DV_1044,Diwali Sale | Travel | West Bengal | Search,diwali_sale_travel_west_bengal_search,Travel,Search,Retention,India,West Bengal,Ananya Singh,Mapped,Standard mapping applied
MAP0018,IN_ME_1071,IPL Promo | Home Appliances | West Bengal | Social,ipl_promo_home_appliances_west_bengal_social,Home Appliances,Social,Awareness,India,West Bengal,Meera Nair,Mapped,Standard mapping applied
MAP0019,IN_ME_1022,Wedding Season | Home Appliances | Telangana | Social,wedding_season_home_appliances_telangana_social,Home Appliances,Social,Conversion,India,Telangana,Rohan Patel,Mapped,Standard mapping applied
MAP0020,IN_YO_1038,Back to College | Travel | West Bengal | Display,back_to_college_travel_west_bengal_display,Travel,Display,Retention,India,West Bengal,Priya Reddy,Mapped,Standard mapping applied
MAP0021,IN_GO_1066,Back to College | EdTech | Maharashtra | Programmatic,back_to_college_edtech_maharashtra_programmatic,EdTech,Programmatic,Retention,India,Maharashtra,Sanjay Verma,Mapped,Standard mapping applied
MAP0022,IN_DV_1075,Festive Cashback | Beauty | Karnataka | Search,festive_cashback_beauty_karnataka_search,Beauty,Search,Awareness,India,Karnataka,Priya Reddy,Mapped,Standard mapping applied
MAP0023,IN_ME_1010,Monsoon Deals | Travel | Delhi NCR | Video,monsoon_deals_travel_delhi_ncr_video,Travel,Video,Retention,India,Delhi NCR,Karthik Rao,Mapped,Standard mapping applied
MAP0024,IN_LI_1048,IPL Promo | Fashion | Tamil Nadu | Video,ipl_promo_fashion_tamil_nadu_video,Fashion,Video,Awareness,India,Tamil Nadu,Rohan Patel,Mapped,Standard mapping applied
MAP0025,IN_LI_1071,Holi Offer | Fashion | Maharashtra | Video,holi_offer_fashion_maharashtra_video,Fashion,Video,Conversion,India,Maharashtra,Ananya Singh,Mapped,Standard mapping applied
MAP0026,IN_YO_1055,IPL Promo | EdTech | Uttar Pradesh | Search,ipl_promo_edtech_uttar_pradesh_search,EdTech,Search,Consideration,India,Uttar Pradesh,Divya Menon,Mapped,Standard mapping applied
MAP0027,IN_YO_1010,Wedding Season | Beauty | Telangana | Display,wedding_season_beauty_telangana_display,Home Appliances,Display,Retention,India,Telangana,Priya Reddy,Incorrect Mapping,Campaign mapped to wrong business unit
MAP0028,IN_LI_1006,New Year | Fashion | Uttar Pradesh | Search,new_year_fashion_uttar_pradesh_search,Fashion,Search,Retention,India,Uttar Pradesh,Meera Nair,Mapped,Standard mapping applied
MAP0029,IN_DV_1004,Monsoon Deals | Fashion | Kerala | Social,monsoon_deals_fashion_kerala_social,Fashion,Social,Conversion,India,Kerala,Karthik Rao,Mapped,Standard mapping applied
MAP0030,IN_ME_1026,Holi Offer | Home Appliances | Delhi NCR | Search,holi_offer_home_appliances_delhi_ncr_search,Home Appliances,Search,Retention,India,Delhi NCR,Divya Menon,Mapped,Standard mapping applied
MAP0031,IN_ME_1045,New Year | Grocery | Maharashtra | Video,new_year_grocery_maharashtra_video,Grocery,Video,Retention,India,Maharashtra,Meera Nair,Mapped,Standard mapping applied
MAP0032,IN_GO_1077,Monsoon Deals | Beauty | Karnataka | Video,monsoon_deals_beauty_karnataka_video,Beauty,Video,Conversion,India,Karnataka,Rohan Patel,Mapped,Standard mapping applied
MAP0033,IN_GO_1067,Summer Savings | Grocery | West Bengal | Search,summer_savings_grocery_west_bengal_search,Grocery,Search,Retention,India,West Bengal,Priya Reddy,Mapped,Standard mapping applied
MAP0034,IN_ME_1016,Holi Offer | Travel | Gujarat | Video,holi_offer_travel_gujarat_video,,,Conversion,India,Gujarat,Meera Nair,Missing Mapping,Business unit/channel not mapped
MAP0035,IN_DV_1073,Summer Savings | Home Appliances | Delhi NCR | Display,summer_savings_home_appliances_delhi_ncr_display,Home Appliances,Display,Consideration,India,Delhi NCR,Rohan Patel,Mapped,Standard mapping applied
MAP0036,IN_DV_1028,Republic Day | Home Appliances | Kerala | Display,republic_day_home_appliances_kerala_display,Home Appliances,Display,Awareness,India,Kerala,Aarav Sharma,Mapped,Standard mapping applied
MAP0037,IN_GO_1026,Holi Offer | EdTech | Delhi NCR | Social,holi_offer_edtech_delhi_ncr_social,EdTech,Social,Awareness,India,Delhi NCR,Meera Nair,Mapped,Standard mapping applied
MAP0038,IN_DV_1032,Festive Cashback | Fashion | West Bengal | Display,festive_cashback_fashion_west_bengal_display,Fashion,Display,Awareness,India,West Bengal,Rohan Patel,Mapped,Standard mapping applied
MAP0039,IN_DV_1059,Back to College | Home Appliances | Tamil Nadu | Search,back_to_college_home_appliances_tamil_nadu_search,Home Appliances,Search,Conversion,India,Tamil Nadu,Rohan Patel,Mapped,Standard mapping applied
MAP0040,IN_YO_1061,Back to College | Home Appliances | Rajasthan | Programmatic,back_to_college_home_appliances_rajasthan_programmatic,Home Appliances,Programmatic,Awareness,India,Rajasthan,Priya Reddy,Mapped,Standard mapping applied
MAP0041,IN_DV_1043,Wedding Season | Electronics | Tamil Nadu | Video,wedding_season_electronics_tamil_nadu_video,Electronics,Video,Retention,India,Tamil Nadu,Meera Nair,Mapped,Standard mapping applied
MAP0042,IN_ME_1008,New Year | Home Appliances | Tamil Nadu | Video,new_year_home_appliances_tamil_nadu_video,Home Appliances,Video,Conversion,India,Tamil Nadu,Meera Nair,Mapped,Standard mapping applied
MAP0043,IN_GO_1054,Wedding Season | Electronics | Kerala | Video,wedding_season_electronics_kerala_video,Electronics,Video,Conversion,India,Kerala,Sanjay Verma,Mapped,Standard mapping applied
MAP0044,IN_DV_1052,New Year | Home Appliances | Tamil Nadu | Search,new_year_home_appliances_tamil_nadu_search,Home Appliances,Search,Awareness,India,Tamil Nadu,Aarav Sharma,Mapped,Standard mapping applied
MAP0045,IN_LI_1055,Festive Cashback | Beauty | Maharashtra | Search,festive_cashback_beauty_maharashtra_search,Beauty,Search,Awareness,India,Maharashtra,Karthik Rao,Mapped,Standard mapping applied
