source_row_id,report_date,platform,campaign_id,campaign_name,state,city,device_type,impressions,clicks,conversions,spend_inr
SRC0001,2026-03-23,Google Ads,IN_GO_1070,Summer Savings | Fashion | Maharashtra | Social,Maharashtra,Nagpur,Tablet,37790,1320,14,9752.63
SRC0002,2026-01-30,LinkedIn Ads,IN_LI_1058,Back to College | Fashion | Kerala | Programmatic,Kerala,Kochi,Mobile,169472,3326,263,116378.42
SRC0003,2026-01-21,DV360,IN_DV_1049,Monsoon Deals | Fashion | Gujarat | Video,Gujarat,Vadodara,Mobile,40353,951,34,13768.21
SRC0004,2026-01-06,DV360,IN_DV_1080,New Year | Electronics | Uttar Pradesh | Programmatic,Uttar Pradesh,Lucknow,Tablet,247115,11916,659,390126.64
SRC0005,2026-01-06,Meta Ads,IN_ME_1059,Summer Savings | EdTech | Delhi NCR | Search,Delhi NCR,New Delhi,Desktop,181640,8513,181,155308.91
SRC0006,2026-03-27,YouTube Ads,IN_YO_1049,Back to College | Travel | Karnataka | Social,Karnataka,Mysuru,Desktop,85765,4673,282,124364.49
SRC0007,2026-03-29,YouTube Ads,IN_YO_1009,Diwali Sale | EdTech | Maharashtra | Video,Maharashtra,Pune,Desktop,70307,3567,194,118757.71
SRC0008,2026-01-28,DV360,IN_DV_1072,Wedding Season | Fashion | West Bengal | Video,West Bengal,Durgapur,Mobile,156289,2949,164,120200.21
SRC0009,2026-02-21,YouTube Ads,IN_YO_1020,Back to College | Home Appliances | Tamil Nadu | Search,Tamil Nadu,Chennai,Mobile,179481,2483,158,70147.17
SRC0010,2026-02-19,DV360,IN_DV_1015,Back to College | Grocery | Kerala | Programmatic,Kerala,Thiruvananthapuram,Tablet,193706,9560,665,338393.86
SRC0011,2026-02-13,Google Ads,IN_GO_1023,Monsoon Deals | Home Appliances | Delhi NCR | Search,Delhi NCR,Faridabad,Tablet,148085,7510,596,119299.8
SRC0012,2026-03-23,LinkedIn Ads,IN_LI_1042,Monsoon Deals | Grocery | Kerala | Social,Kerala,Kochi,Tablet,143085,995,83,39767.12
SRC0013,2026-02-09,Meta Ads,IN_ME_1069,Festive Cashback | Electronics | Maharashtra | Search,Maharashtra,Pune,Mobile,215758,2624,162,112292.03
SRC0014,2026-01-22,YouTube Ads,IN_YO_1048,Summer Savings | Beauty | Uttar Pradesh | Social,Uttar Pradesh,Agra,Desktop,129845,6502,292,89650.12
SRC0015,2026-01-09,YouTube Ads,IN_YO_1008,Festive Cashback | Fashion | Maharashtra | Search,Maharashtra,Pune,Tablet,75015,697,7,11997.31
SRC0016,2026-03-07,Meta Ads,IN_ME_1061,Summer Savings | Beauty | Delhi NCR | Social,Delhi NCR,Faridabad,Mobile,226680,5881,92,181415.82
SRC0017,2026-02-15,DV360,IN_DV_1044,Diwali Sale | Travel | West Bengal | Search,West Bengal,Howrah,Desktop,224870,10843,307,123541.56
SRC0018,2026-02-27,Meta Ads,IN_ME_1071,IPL Promo | Home Appliances | West Bengal | Social,West Bengal,Kolkata,Desktop,40666,344,30,13139.13
SRC0019,2026-01-12,Meta Ads,IN_ME_1022,Wedding Season | Home Appliances | Telangana | Social,Telangana,Warangal,Mobile,114345,698,27,29281.45
SRC0020,2026-02-28,YouTube Ads,IN_YO_1038,Back to College | Travel | West Bengal | Display,West Bengal,Durgapur,Mobile,72068,3853,213,100182.24
SRC0021,2026-02-10,Google Ads,IN_GO_1066,Back to College | EdTech | Maharashtra | Programmatic,Maharashtra,Nashik,Mobile,36000,1717,23,10852.09
SRC0022,2026-01-31,DV360,IN_DV_1075,Festive Cashback | Beauty | Karnataka | Search,Karnataka,Mysuru,Desktop,163170,5158,436,61776.11
SRC0023,2026-02-10,Meta Ads,IN_ME_1010,Monsoon Deals | Travel | Delhi NCR | Video,Delhi NCR,Faridabad,Desktop,17441,496,44,22239.65
SRC0024,2026-01-10,LinkedIn Ads,IN_LI_1048,IPL Promo | Fashion | Tamil Nadu | Video,Tamil Nadu,Madurai,Mobile,89707,1231,94,40249.89
SRC0025,2026-03-20,LinkedIn Ads,IN_LI_1071,Holi Offer | Fashion | Maharashtra | Video,Maharashtra,Nagpur,Mobile,55749,1078,62,35876.82
SRC0026,2026-01-27,YouTube Ads,IN_YO_1055,IPL Promo | EdTech | Uttar Pradesh | Search,Uttar Pradesh,Agra,Tablet,232408,4545,37,161354.08
SRC0027,2026-03-23,YouTube Ads,IN_YO_1010,Wedding Season | Beauty | Telangana | Display,Telangana,Karimnagar,Mobile,246501,9825,198,49077.52
SRC0028,2026-02-17,LinkedIn Ads,IN_LI_1006,New Year | Fashion | Uttar Pradesh | Search,Uttar Pradesh,Kanpur,Desktop,108797,1772,50,13761.24
SRC0029,2026-03-13,DV360,IN_DV_1004,Monsoon Deals | Fashion | Kerala | Social,Kerala,Kozhikode,Desktop,62018,2610,91,109956.32
SRC0030,2026-03-27,Meta Ads,IN_ME_1026,Holi Offer | Home Appliances | Delhi NCR | Search,Delhi NCR,Gurugram,Mobile,229063,11683,428,438723.05
SRC0031,2026-01-30,Meta Ads,IN_ME_1045,New Year | Grocery | Maharashtra | Video,Maharashtra,Pune,Desktop,183160,5670,361,218362.69
SRC0032,2026-02-12,Google Ads,IN_GO_1077,Monsoon Deals | Beauty | Karnataka | Video,Karnataka,Mangaluru,Mobile,128918,2957,214,63901.79
SRC0033,2026-03-07,Google Ads,IN_GO_1067,Summer Savings | Grocery | West Bengal | Search,West Bengal,Durgapur,Mobile,226421,7332,491,251421.09
SRC0034,2026-03-27,Meta Ads,IN_ME_1016,Holi Offer | Travel | Gujarat | Video,Gujarat,Rajkot,Tablet,203679,10204,505,318120.47
SRC0035,2026-02-11,DV360,IN_DV_1073,Summer Savings | Home Appliances | Delhi NCR | Display,Delhi NCR,Gurugram,Tablet,93892,2431,185,39165.38
SRC0036,2026-01-27,DV360,IN_DV_1028,Republic Day | Home Appliances | Kerala | Display,Kerala,Kozhikode,Tablet,149001,4348,356,158854.3
SRC0037,2026-01-22,Google Ads,IN_GO_1026,Holi Offer | EdTech | Delhi NCR | Social,Delhi NCR,Noida,Mobile,53627,385,10,8938.99
SRC0038,2026-01-10,DV360,IN_DV_1032,Festive Cashback | Fashion | West Bengal | Display,West Bengal,Durgapur,Desktop,53684,2047,17,70959.31
SRC0039,2026-01-14,DV360,IN_DV_1059,Back to College | Home Appliances | Tamil Nadu | Search,Tamil Nadu,Chennai,Mobile,49954,2261,141,100608.93
SRC0040,2026-03-18,YouTube Ads,IN_YO_1061,Back to College | Home Appliances | Rajasthan | Programmatic,Rajasthan,Jodhpur,Mobile,132983,2486,70,74487.89
SRC0041,2026-03-08,DV360,IN_DV_1043,Wedding Season | Electronics | Tamil Nadu | Video,Tamil Nadu,Coimbatore,Desktop,98809,4916,71,47977.57
SRC0042,2026-02-19,Meta Ads,IN_ME_1008,New Year | Home Appliances | Tamil Nadu | Video,Tamil Nadu,Chennai,Desktop,69220,3240,129,114846.74
SRC0043,2026-03-31,Google Ads,IN_GO_1054,Wedding Season | Electronics | Kerala | Video,Kerala,Thiruvananthapuram,Desktop,156091,6653,351,189843.24
SRC0044,2026-01-29,DV360,IN_DV_1052,New Year | Home Appliances | Tamil Nadu | Search,Tamil Nadu,Coimbatore,Desktop,204839,2885,133,25378.06
SRC0045,2026-03-21,LinkedIn Ads,IN_LI_1055,Festive Cashback | Beauty | Maharashtra | Search,Maharashtra,Nashik,Tablet,50572,2451,56,35040.69
SRC0046,2026-02-11,Meta Ads,IN_ME_1033,Republic Day | EdTech | Rajasthan | Display,Rajasthan,Udaipur,Desktop,233866,2341,22,60598.87
SRC0047,2026-02-14,Meta Ads,IN_ME_1020,Diwali Sale | Fashion | Karnataka | Social,Karnataka,Bengaluru,Tablet,77533,944,59,25398.07
SRC0048,2026-01-28,DV360,IN_DV_1040,Monsoon Deals | Beauty | Delhi NCR | Programmatic,Delhi NCR,Noida,Mobile,43337,1488,125,40764.6
SRC0049,2026-02-18,DV360,IN_DV_1039,Festive Cashback | Travel | Tamil Nadu | Social,Tamil Nadu,Chennai,Tablet,237899,9403,696,343617.87
SRC0050,2026-03-14,Google Ads,IN_GO_1054,Republic Day | Electronics | Gujarat | Programmatic,Gujarat,Rajkot,Mobile,230569,6921,301,128251.69
SRC0051,2026-02-28,Meta Ads,IN_ME_1056,Back to College | Travel | West Bengal | Video,West Bengal,Kolkata,Desktop,231461,9679,290,375991.36
SRC0052,2026-01-12,YouTube Ads,IN_YO_1004,Wedding Season | Beauty | Rajasthan | Programmatic,Rajasthan,Jaipur,Desktop,144579,6895,157,84829.0
SRC0053,2026-02-03,YouTube Ads,IN_YO_1031,Back to College | Electronics | Delhi NCR | Programmatic,Delhi NCR,Noida,Mobile,203763,5280,282,71139.78
SRC0054,2026-03-02,DV360,IN_DV_1032,Holi Offer | Grocery | Rajasthan | Social,Rajasthan,Jaipur,Tablet,95270,3671,140,97168.17
SRC0055,2026-02-14,DV360,IN_DV_1033,Republic Day | Travel | Uttar Pradesh | Display,Uttar Pradesh,Varanasi,Desktop,75434,898,21,7598.45
SRC0056,2026-03-10,Meta Ads,IN_ME_1025,Wedding Season | Grocery | Tamil Nadu | Programmatic,Tamil Nadu,Chennai,Mobile,92659,1588,36,6490.41
SRC0057,2026-03-10,Meta Ads,IN_ME_1063,Diwali Sale | Beauty | Delhi NCR | Video,Delhi NCR,New Delhi,Tablet,41892,2042,112,46925.11
SRC0058,2026-02-26,YouTube Ads,IN_YO_1052,IPL Promo | EdTech | Telangana | Display,Telangana,Hyderabad,Mobile,143908,1385,82,7928.82
SRC0059,2026-01-20,LinkedIn Ads,IN_LI_1077,Summer Savings | Electronics | Delhi NCR | Programmatic,Delhi NCR,New Delhi,Tablet,222287,8069,577,155616.22
SRC0060,2026-02-26,YouTube Ads,IN_YO_1013,IPL Promo | Beauty | Kerala | Programmatic,Kerala,Thiruvananthapuram,Tablet,214946,3478,88,107497.22
SRC0061,2026-01-21,Meta Ads,IN_ME_1077,Holi Offer | Fashion | Telangana | Search,Telangana,Karimnagar,Desktop,138184,2801,75,91981.11
SRC0062,2026-03-31,DV360,IN_DV_1015,IPL Promo | EdTech | Karnataka | Programmatic,Karnataka,Mysuru,Desktop,157753,2684,54,38981.74
SRC0063,2026-01-19,Google Ads,IN_GO_1016,IPL Promo | Beauty | Maharashtra | Programmatic,Maharashtra,Pune,Desktop,137866,5479,358,233520.81
SRC0064,2026-03-06,LinkedIn Ads,IN_LI_1042,Holi Offer | Beauty | Rajasthan | Search,Rajasthan,Udaipur,Tablet,173259,3165,49,137422.12
SRC0065,2026-03-15,LinkedIn Ads,IN_LI_1057,Festive Cashback | Electronics | Maharashtra | Social,Maharashtra,Nagpur,Tablet,87917,1309,73,39065.23
SRC0066,2026-03-04,Google Ads,IN_GO_1043,New Year | Grocery | Rajasthan | Video,Rajasthan,Udaipur,Mobile,122910,4915,155,209995.99
SRC0067,2026-03-12,Google Ads,IN_GO_1066,Republic Day | Grocery | Rajasthan | Video,Rajasthan,Jaipur,Desktop,231249,12584,779,327405.91
SRC0068,2026-02-22,Google Ads,IN_GO_1027,Republic Day | Beauty | Tamil Nadu | Display,Tamil Nadu,Madurai,Mobile,85007,2797,235,60644.04
SRC0069,2026-03-31,DV360,IN_DV_1071,Festive Cashback | EdTech | Karnataka | Social,Karnataka,Bengaluru,Desktop,18584,614,9,27432.7
SRC0070,2026-01-15,DV360,IN_DV_1062,Wedding Season | Travel | Karnataka | Video,Karnataka,Mysuru,Desktop,138789,2490,132,48352.86
SRC0071,2026-03-18,LinkedIn Ads,IN_LI_1035,IPL Promo | EdTech | Telangana | Display,Telangana,Hyderabad,Tablet,230102,1409,95,53901.65
SRC0072,2026-03-16,DV360,IN_DV_1070,Back to College | Home Appliances | Telangana | Video,Telangana,Warangal,Tablet,113883,3224,110,36524.93
SRC0073,2026-03-31,Meta Ads,IN_ME_1061,Summer Savings | EdTech | Kerala | Display,Kerala,Thiruvananthapuram,Desktop,199871,10145,398,451647.09
SRC0074,2026-03-25,Meta Ads,IN_ME_1057,Monsoon Deals | Beauty | Rajasthan | Programmatic,Rajasthan,Jaipur,Mobile,41138,1307,59,43760.21
SRC0075,2026-02-22,Meta Ads,IN_ME_1011,IPL Promo | Grocery | Karnataka | Programmatic,Karnataka,Hubballi,Tablet,238285,5266,333,135048.29
SRC0076,2026-02-10,DV360,IN_DV_1012,Festive Cashback | Electronics | Uttar Pradesh | Social,Uttar Pradesh,Lucknow,Mobile,128763,6945,488,227181.16
SRC0077,2026-01-13,DV360,IN_DV_1038,IPL Promo | Electronics | Telangana | Search,Telangana,Karimnagar,Mobile,108969,2655,52,67817.73
SRC0078,2026-03-14,Meta Ads,IN_ME_1075,Holi Offer | Beauty | Telangana | Display,Telangana,Hyderabad,Desktop,52517,912,55,20585.82
SRC0079,2026-03-27,Google Ads,IN_GO_1076,Back to College | Fashion | Rajasthan | Search,Rajasthan,Udaipur,Desktop,93421,3485,149,48368.58
SRC0080,2026-02-08,Meta Ads,IN_ME_1038,Holi Offer | Fashion | West Bengal | Display,West Bengal,Howrah,Tablet,198311,4058,357,125053.51
SRC0081,2026-02-05,Google Ads,IN_GO_1078,Diwali Sale | Beauty | Kerala | Display,Kerala,Kozhikode,Mobile,225221,5239,315,153329.73
SRC0082,2026-03-28,Meta Ads,IN_ME_1047,IPL Promo | EdTech | Karnataka | Display,Karnataka,Bengaluru,Tablet,206983,2574,212,43909.46
SRC0083,2026-02-23,Meta Ads,IN_ME_1033,Back to College | Grocery | Tamil Nadu | Programmatic,Tamil Nadu,Chennai,Mobile,231187,12083,1055,190287.56
SRC0084,2026-02-13,Google Ads,IN_GO_1047,Monsoon Deals | EdTech | Rajasthan | Social,Rajasthan,Jaipur,Tablet,38672,1730,15,44578.21
SRC0085,2026-02-28,YouTube Ads,IN_YO_1080,Republic Day | Electronics | Delhi NCR | Social,Delhi NCR,Faridabad,Mobile,246796,12886,449,371354.05
SRC0086,2026-03-24,Google Ads,IN_GO_1006,IPL Promo | Travel | Rajasthan | Display,Rajasthan,Jodhpur,Mobile,24754,517,25,3894.8
SRC0087,2026-03-10,Meta Ads,IN_ME_1020,Republic Day | Travel | West Bengal | Programmatic,West Bengal,Howrah,Tablet,247105,6506,104,154894.21
SRC0088,2026-02-22,YouTube Ads,IN_YO_1013,Summer Savings | Home Appliances | Maharashtra | Display,Maharashtra,Nagpur,Desktop,194746,4673,382,141406.44
SRC0089,2026-01-08,DV360,IN_DV_1028,Holi Offer | EdTech | Delhi NCR | Display,Delhi NCR,Gurugram,Tablet,183218,6840,599,38297.22
SRC0090,2026-02-12,Meta Ads,IN_ME_1028,Summer Savings | Electronics | Telangana | Programmatic,Telangana,Karimnagar,Tablet,228136,11090,387,106724.6
SRC0091,2026-03-18,Google Ads,IN_GO_1004,Monsoon Deals | Beauty | Delhi NCR | Video,Delhi NCR,Gurugram,Mobile,49551,333,24,4453.6
SRC0092,2026-02-11,Google Ads,IN_GO_1009,Diwali Sale | Fashion | Telangana | Display,Telangana,Warangal,Tablet,139845,3910,147,110016.22
SRC0093,2026-02-27,LinkedIn Ads,IN_LI_1004,Diwali Sale | Travel | Tamil Nadu | Programmatic,Tamil Nadu,Madurai,Desktop,30945,1699,131,36002.41
SRC0094,2026-01-14,DV360,IN_DV_1017,Holi Offer | Grocery | Rajasthan | Programmatic,Rajasthan,Jaipur,Mobile,87093,3186,178,105311.13
SRC0095,2026-02-18,LinkedIn Ads,IN_LI_1015,Wedding Season | Beauty | Uttar Pradesh | Programmatic,Uttar Pradesh,Varanasi,Mobile,238554,9084,726,239639.66
SRC0096,2026-01-28,DV360,IN_DV_1013,New Year | Grocery | Rajasthan | Display,Rajasthan,Jaipur,Desktop,96932,2608,163,49639.35
SRC0097,2026-01-20,DV360,IN_DV_1048,Holi Offer | Electronics | Karnataka | Display,Karnataka,Bengaluru,Tablet,227800,2819,36,121780.58
SRC0098,2026-03-13,YouTube Ads,IN_YO_1077,Republic Day | EdTech | Karnataka | Display,Karnataka,Hubballi,Desktop,96906,2251,124,27751.81
SRC0099,2026-03-26,DV360,IN_DV_1036,Republic Day | EdTech | Tamil Nadu | Programmatic,Tamil Nadu,Chennai,Mobile,165496,2826,122,75680.5
SRC0100,2026-03-21,LinkedIn Ads,IN_LI_1035,Festive Cashback | Travel | Uttar Pradesh | Video,Uttar Pradesh,Lucknow,Mobile,199208,8637,721,156048.76
SRC0101,2026-01-24,Meta Ads,IN_ME_1068,New Year | Electronics | Kerala | Social,Kerala,Kozhikode,Mobile,71395,1744,78,17496.65
SRC0102,2026-02-09,YouTube Ads,IN_YO_1007,Holi Offer | Electronics | Kerala | Social,Kerala,Kozhikode,Tablet,191676,1916,84,40421.11
SRC0103,2026-03-19,DV360,IN_DV_1056,Summer Savings | EdTech | West Bengal | Programmatic,West Bengal,Howrah,Desktop,44069,876,55,20757.05
SRC0104,2026-03-27,YouTube Ads,IN_YO_1039,New Year | Beauty | Maharashtra | Search,Maharashtra,Pune,Mobile,70373,3068,216,47590.99
SRC0105,2026-01-16,Google Ads,IN_GO_1030,New Year | Fashion | Rajasthan | Social,Rajasthan,Jodhpur,Tablet,146140,4877,306,88751.34
SRC0106,2026-02-20,Google Ads,IN_GO_1052,Wedding Season | Electronics | West Bengal | Video,West Bengal,Kolkata,Tablet,200990,7510,238,152519.39
SRC0107,2026-02-11,Meta Ads,IN_ME_1056,Republic Day | Electronics | Kerala | Display,Kerala,Thiruvananthapuram,Mobile,169369,4339,62,171940.53
SRC0108,2026-02-13,Meta Ads,IN_ME_1045,Holi Offer | Beauty | Gujarat | Search,Gujarat,Surat,Desktop,205678,10891,663,104870.84
SRC0109,2026-01-14,Meta Ads,IN_ME_1064,Monsoon Deals | Beauty | Delhi NCR | Social,Delhi NCR,Gurugram,Mobile,136622,5870,412,129900.57
SRC0110,2026-03-14,LinkedIn Ads,IN_LI_1039,Monsoon Deals | Home Appliances | Gujarat | Search,Gujarat,Vadodara,Desktop,223753,4354,54,106910.21
SRC0111,2026-02-09,DV360,IN_DV_1012,Diwali Sale | Grocery | Rajasthan | Video,Rajasthan,Jaipur,Tablet,176220,6187,244,170660.17
SRC0112,2026-01-06,DV360,IN_DV_1020,Summer Savings | Grocery | Kerala | Programmatic,Kerala,Kozhikode,Tablet,31219,876,65,33508.01
SRC0113,2026-01-11,LinkedIn Ads,IN_LI_1067,Summer Savings | Travel | Telangana | Display,Telangana,Hyderabad,Tablet,174856,2409,92,36713.36
SRC0114,2026-02-22,YouTube Ads,IN_YO_1050,Republic Day | Electronics | Kerala | Video,Kerala,Kochi,Tablet,89487,1641,127,71421.27
SRC0115,2026-03-19,Meta Ads,IN_ME_1051,Festive Cashback | Travel | Gujarat | Social,Gujarat,Ahmedabad,Desktop,48803,1715,145,28036.22
SRC0116,2026-02-18,YouTube Ads,IN_YO_1047,Back to College | Electronics | Telangana | Display,Telangana,Karimnagar,Mobile,95967,1423,36,60944.58
SRC0117,2026-03-04,Meta Ads,IN_ME_1070,Monsoon Deals | Electronics | Tamil Nadu | Video,Tamil Nadu,Chennai,Tablet,233921,9869,505,305643.56
SRC0118,2026-03-21,Meta Ads,IN_ME_1057,Monsoon Deals | Fashion | Kerala | Social,Kerala,Thiruvananthapuram,Tablet,26453,691,43,9230.03
SRC0119,2026-02-26,LinkedIn Ads,IN_LI_1025,Summer Savings | Beauty | Delhi NCR | Social,Delhi NCR,Faridabad,Desktop,111427,4372,239,95243.11
SRC0120,2026-02-06,DV360,IN_DV_1007,Monsoon Deals | EdTech | Uttar Pradesh | Social,Uttar Pradesh,Agra,Desktop,183081,5409,207,228655.64
