dashboard_row_id,report_date,platform,campaign_id,campaign_name,state,city,device_type,impressions,clicks,conversions,spend_inr
DSH0001,2026-03-23,Google Ads,IN_GO_1070,Summer Savings | Fashion | Maharashtra | Social,Maharashtra,Nagpur,Tablet,37790,1320,14,9752.63
DSH0002,2026-01-30,LinkedIn Ads,IN_LI_1058,Back to College | Fashion | Kerala | Programmatic,Kerala,Kochi,Mobile,169472,3326,263,116378.42
DSH0003,2026-01-21,DV360,,Monsoon Deals | Fashion | Gujarat | Video,Gujarat,Vadodara,Mobile,41160,931,34,13355.16
DSH0004,2026-01-06,DV360,IN_DV_1080,New Year | Electronics | Uttar Pradesh | Programmatic,Uttar Pradesh,Lucknow,Tablet,247115,11916,659,390126.64
DSH0005,2026-01-06,Meta Ads,IN_ME_1059,Summer Savings | EdTech | Delhi NCR | Search,Delhi NCR,New Delhi,Desktop,181640,8513,181,155308.91
DSH0006,2026-03-27,YouTube Ads,IN_YO_1049,Back to College | Travel | Karnataka | Social,Karnataka,Mysuru,Desktop,85765,4673,282,124364.49
DSH0007,2026-03-29,YouTube Ads,IN_YO_1009,Diwali Sale | EdTech | Maharashtra | Video,Maharashtra,Pune,Desktop,70307,3567,194,118757.71
DSH0008,2026-01-28,DV360,IN_DV_1072,Wedding Season | Fashion | West Bengal | Video,West Bengal,Durgapur,Mobile,159414,3037,164,122604.21
DSH0009,2026-02-21,YouTube Ads,IN_YO_1020,Back to College | Home Appliances | Tamil Nadu | Search,Tamil Nadu,Chennai,Mobile,179481,2483,158,70147.17
DSH0010,2026-02-19,DV360,IN_DV_1015,Back to College | Grocery | Kerala | Programmatic,Kerala,Thiruvananthapuram,Tablet,193706,9560,665,338393.86
DSH0011,2026-02-13,Google Ads,IN_GO_1023,Monsoon Deals | Home Appliances | Delhi NCR | Search,Delhi NCR,Faridabad,Tablet,148085,7510,596,119299.8
DSH0012,2026-03-23,LinkedIn Ads,IN_LI_1042,Monsoon Deals | Grocery | Kerala | Social,Kerala,Kochi,Tablet,143085,995,83,39767.12
DSH0013,2026-03-03,DV360,IN_EXTRA_2019,Holi Offer | Electronics | Maharashtra | Programmatic | Extra in Dashboard,Maharashtra,Pune,Mobile,87748,620,7,7806.03
DSH0014,2026-01-22,YouTube Ads,IN_YO_1048,Summer Savings | Beauty | Uttar Pradesh | Social,Uttar Pradesh,Agra,Desktop,129845,6502,292,89650.12
DSH0015,2026-01-09,YouTube Ads,IN_YO_1008,Festive Cashback | Fashion | Maharashtra | Search,Maharashtra,Pune,Tablet,75015,697,7,11997.31
DSH0016,2026-03-07,Meta Ads,IN_ME_1061,Summer Savings | Beauty | Delhi NCR | Social,Delhi NCR,Faridabad,Mobile,226680,5881,92,181415.82
DSH0017,2026-02-16,DV360,IN_DV_1044,Diwali Sale | Travel | West Bengal | Search,West Bengal,Howrah,Desktop,224870,10843,307,123541.56
DSH0018,2026-02-27,Meta Ads,IN_ME_1071,IPL Promo | Home Appliances | West Bengal | Social,West Bengal,Kolkata,Desktop,40259,354,30,12876.35
DSH0019,2026-01-12,Meta Ads,IN_ME_1022,Wedding Season | Home Appliances | Telangana | Social,Telangana,Warangal,Mobile,114345,698,27,29281.45
